,city,latitude,longitude,temperature,humidity,cloudiness,wind_speed
308,Broome,52.47,1.45,50.7,76,56,6.93
309,Vila Franca do Campo,37.72,-25.43,69.8,73,40,12.75
310,Tomatlan,19.93,-105.25,78.75,82,64,2.21
311,Maniitsoq,65.42,-52.9,35.19,100,88,13.51
312,Zwedru,6.07,-8.13,73.35,98,92,3.44
313,Dudinka,69.41,86.18,33.12,96,44,12.06
314,Kruisfontein,-34.0,24.73,60.84,92,68,11.95
315,Baherden,38.44,57.43,67.32,68,56,3.22
316,Show Low,34.25,-110.03,62.24,87,90,8.05
317,Veraval,49.65,0.71,51.82,81,90,5.82
318,Lun,47.87,105.25,31.23,66,0,3.67
319,Vestmannaeyjar,63.44,-20.27,43.83,100,80,37.89
320,Calamar,1.96,-72.65,76.95,90,48,1.77
321,Port Pirie,-33.18,138.01,73.4,45,68,2.24
322,Sao Joao da Barra,-21.64,-41.05,77.0,78,0,9.17
323,Longjumeau,48.7,2.3,48.45,66,0,5.82
324,Mahibadhoo,3.78,72.97,81.09,100,92,22.57
325,Cayenne,4.94,-52.33,80.6,88,0,3.36
326,San Ignacio,-36.8,-72.03,51.8,50,0,9.17
327,Ouango,4.31,22.55,73.4,100,20,2.44
328,Havre-Saint-Pierre,50.23,-63.6,41.0,86,75,14.99
329,Bure,10.52,10.33,74.7,83,0,6.13
330,General Pico,-35.66,-63.75,45.54,50,0,5.23
331,Barra Patuca,15.8,-84.28,79.92,100,56,8.03
332,Aguimes,27.91,-15.45,73.4,83,20,16.11
333,Namibe,-15.19,12.15,65.97,100,88,2.77
334,Mpraeso,6.6,-0.73,71.01,99,32,3.22
335,Klaksvik,62.23,-6.59,46.4,81,56,24.16
336,Coquimbo,-29.95,-71.34,55.4,76,0,9.17
337,Antofagasta,-23.65,-70.4,59.0,72,90,8.05
338,Warmbad,50.67,13.08,42.76,81,56,10.29
339,Bathsheba,13.22,-59.52,80.6,78,20,10.29
340,De Panne,51.1,2.59,48.2,70,75,6.93
341,Kulhudhuffushi,6.62,73.07,80.01,100,76,20.0
342,Luis Correia,-2.88,-41.67,80.37,71,0,17.54
343,Harnosand,62.63,17.94,31.21,100,0,2.24
344,Santa Maria,-29.69,-53.81,68.0,94,75,3.36
345,Kuryk,43.18,51.68,60.03,76,0,12.06
346,Inawashiro,37.55,140.1,64.4,55,40,16.11
347,Burnie,-41.05,145.91,55.26,96,0,6.58
348,Sinnamary,5.38,-52.96,82.17,94,56,11.16
349,Corning,42.14,-77.05,54.63,90,90,3.36
350,Necochea,-38.55,-58.74,41.22,73,0,2.89
351,Puerto Quijarro,-19.0,-57.72,86.88,62,20,9.17
352,Airai,-8.93,125.41,67.59,89,80,1.66
353,Tual,-5.67,132.75,80.64,98,68,16.2
354,Bulgan,48.81,103.53,29.79,66,0,2.77
355,Kenora,49.76,-94.48,45.57,48,75,8.05
356,Kungurtug,50.6,97.53,21.06,67,0,2.44
357,Pozo Colorado,-23.49,-58.8,88.92,50,80,6.35
358,Henties Bay,-22.12,14.28,57.87,93,0,3.11
359,Arkadak,51.94,43.49,32.31,71,0,7.92
360,Borodyanka,50.64,29.92,48.34,87,92,4.0
361,Meulaboh,4.14,96.13,77.04,100,88,3.78
362,Emerald,-23.53,148.16,74.34,40,0,11.83
363,Gamba,28.28,88.52,26.46,81,48,1.99
364,Paamiut,61.99,-49.67,38.61,95,36,9.6
365,Grand Gaube,-20.01,57.66,71.6,83,40,10.29
366,Tamandare,-8.28,-70.75,79.56,89,32,2.77
367,Saint-Francois,46.42,3.91,41.0,80,0,9.71
368,Kavieng,-2.57,150.8,85.32,100,76,7.81
369,Omsukchan,62.53,155.8,28.08,87,88,3.67
370,Bubaque,11.28,-15.83,73.4,94,40,4.7
371,Hovd,63.83,10.7,36.55,93,0,9.17
372,Goroka,-6.07,145.39,70.56,63,0,2.21
373,Salvacion,13.85,121.93,80.82,100,48,7.25
374,San Carlos de Bariloche,-41.13,-71.31,35.6,79,75,26.4
375,Mocuba,-16.84,36.99,66.51,90,0,3.44
376,Cidreira,-30.17,-50.22,67.32,100,92,8.48
377,Belem,-6.45,-64.49,88.92,57,56,2.21
378,Lianyuan,27.69,111.67,62.55,77,8,2.44
379,The Valley,18.22,-63.06,81.54,69,20,3.36
380,Malanje,-9.54,16.35,64.44,94,44,4.23
381,Kuruman,-27.46,23.43,58.14,37,0,8.25
382,Amlagora,22.83,87.35,75.42,86,20,5.35
383,Puerto Baquerizo Moreno,-0.9,-89.6,70.02,100,44,11.95
384,Longkou,37.64,120.47,67.32,99,0,5.46
385,Sao Jose da Coroa Grande,-8.9,-35.15,75.51,82,92,8.48
386,Rozsypne,48.13,38.57,58.77,84,92,9.6
387,Deputatskiy,69.3,139.9,27.45,86,92,14.52
388,Husavik,50.56,-96.99,43.29,84,92,13.29
389,Praia da Vitoria,38.73,-27.07,71.6,83,40,18.99
390,Am Timan,11.04,20.28,74.61,70,80,2.77
391,Nyurba,63.29,118.35,37.8,83,68,6.46
392,Ciudad Bolivar,8.12,-63.55,87.03,48,0,10.04
393,Baykit,61.68,96.39,43.02,96,92,9.48
394,Lebyazhye,59.96,29.42,46.4,75,0,4.47
395,Coihaique,-45.58,-72.07,42.57,45,75,5.82
396,Lafia,8.5,8.51,71.64,98,92,6.8
